Writer
"Marcel Allain, Louis Feuillade, Pierre Souvestre"
"Harvey Gates, Robert Kehoe"
"Ben Hecht, Seton I. Miller, Rafael Sabatini"
DeWitt Bodeen
Fred Myton
Clarence Upson Young
"Lillie Hayward, Michael Jacoby, Jessie Douglas Kerruish"
"Warren Foster, Jacob Grimm, Wilhelm Grimm"
"Leslie Charteris, Leslie Arliss, Wolfgang Wilhelm"
Arthur St. Claire
"Earl Derr Biggers, George Callahan"
"Virginia Van Upp, Marion Parsonnet, Paul Gangelin"
"Francis M. Cockrell, Marian B. Cockrell, Joan Harrison"
"Dane Lussier, Frederick Kohner, Curt Siodmak"
"Larry Williams, Pierre Gendron, Martin Mooney"
Edward Dein
"Royal K. Cole, Ronald Davidson, Basil Dickey"
"Royal K. Cole, Sherman L. Lowe"
"Royal K. Cole, Albert DeMond, Basil Dickey"
Bill Peet
"Frank Launder, Sidney Gilliat, Wolfgang Wilhelm"
"Roy Chanslor, Cornell Woolrich"
"George Callahan, Earl Derr Biggers"
"Jay Dratler, Bernard C. Schoenfeld, Leo Rosten"
"Nunnally Johnson, Vladimir Pozner"
"Martin Berkeley, Dwight V. Babcock, Aubrey Wisberg"
"Robert Rossen, John Patrick, Robert Riskin"
"Rumer Godden, Michael Powell, Emeric Pressburger"
"Delmer Daves, David Goodis"
"Malvin Wald, Oscar Saul, Philip MacDonald"
"Hans Christian Andersen, Emeric Pressburger, Keith Winter"
"Gustaf Edgren, Oscar Rydqvist"
"Kazuo Hirotsu, Kôgo Noda, Yasujirô Ozu"
"Alexandre Dumas, Charles Bennett, Richard Schayer"
"Ladislas Fodor, Christopher Isherwood, René Fülöp-Miller"
"John Dickson Carr, John Gilling, Francis Searle"
"Ryûzô Kikushima, Akira Kurosawa"
"Talbot Jennings, Thomas B. Costain"
"John Meredyth Lucas, Lawrence B. Marcus, Ketti Frings"
Ronald Davidson
Jean Genet
"Gerhard Menzel, Willi Forst, Georg Marischka"
Jerry Sackheim
"Charles Yerkow, Samuel Roeca"
"Samuel Newman, Alex Raymond"
"Curt Siodmak, Ivan Tors"
"George Bricker, Jack Leonard, William Sackheim"
"Roberto Bianchi Montero, Carlo Lombardo, Alberto Vecchietti"
Wyott Ordung
"Oscar Brodney, Howard Pyle"
"Nunnally Johnson, Hugh Wheeler, Richard W. Webb"
"Clifford Odets, George Seaton"
"Harry Essex, Arthur A. Ross, Maurice Zimm"
"The Gordons, Bernard C. Schoenfeld"
Bill Danch
"Maurice Moiseiwitsch, Harold Buchman, Carl Foreman"
"Klimenti Mints, Evgeniy Pomeshchikov"
"Millard Kaufman, Don McGuire, Howard Breslin"
"Edward D. Wood Jr., Alex Gordon"
"John Patrick, Han Suyin, Maurice Griffe"
"Daniel Fuchs, Isobel Lennart"
"Gerald Drayson Adams, John C. Higgins"
"Robert Buckner, Maurice Geraghty"
"El Sayed Bedeir, Youssef Chahine, Lezait Fayed"
"Anthony Pelissier, Margery Allingham"
"Marcella Burke, Frederick Kohner, Ted Sherdeman"
"Robert Carson, James Wellard, Peter Myers"
"Frank Hall, Edward D. Wood Jr., Ronald V. Ashcroft"
"David Duncan, Robert Blees, Paul Yawitz"
"Janet Green, John Cresswell"
"Billy Wilder, I.A.L. Diamond, Claude Anet"
"David Duncan, Pat Fielder"
"Louis Vittes, Endre Bohem"
Ray Buffum
"Richard Brooks, James Poe, Tennessee Williams"
"Charles Eric Maine, J. McLaren Ross"
"Jean Redon, Claude Sautet, Frédéric Dard"
"Sydney Boehm, David Walker"
"Eileen Bassing, Robert Bassing"
Robb White
"Aben Kandel, Herman Cohen"
Louis Vittes
H. Haile Chace
David Duncan
"Werner Jörg Lüddecke, Thea von Harbou, Richard Eichberg"
Joseph Stefano
"Filippo Sanjust, Riccardo Freda"
"Ray Kellogg, Jay Simms"
"Herman Cohen, Aben Kandel"
"Charles Spaak, Princesse Bibesco, Georges Neveux"
"Zenzô Matsuyama, Masaki Kobayashi, Jumpei Gomikawa"
"Jacques Viot, Vinicius de Moraes, Marcel Camus"
"Noël Calef, John Hawkesworth, Shelley Smith"
"Harriet Frank Jr., Irving Ravetch, William Inge"
"Norman Krasna, Hal Kanter, Arthur Miller"
"Ennio De Concini, Mario Serandrei, Nikolay Gogol"
"Ivan Goff, Ben Roberts"
"Nino Battiferri, Luigi Capuano, Arpad DeRiso"
Timothy Carey
"Willem Frederik Hermans, Fons Rademakers"
"Milos Forman, Jaroslav Papousek"
"Stanley Kubrick, Terry Southern, Peter George"
"Richard Maibaum, Johanna Harwood, Ian Fleming"
"Giovanni Grimaldi, Bruno Corbucci, Edgar Allan Poe"
Arnold Schulman
"Robert Dillon, J.B. Priestley"
"Anton Chekhov, Aleksei Tolstoy, Guy de Maupassant"
"Walter Lima Jr., Glauber Rocha, Paulo Gil Soares"
"Renato Polselli, Ernesto Gastaldi, Giuseppe Pellegrini"
"Romeo Muller, Robert May, Johnny Marks"
Shin'ichi Sekizawa
"Marcello Fondato, Giuseppe Barilla, Mario Bava"
"Blake Edwards, William Peter Blatty, Harry Kurnitz"
Cheh Chang
"Ian Niall, Lowell S. Hawley"
"Roger Hanin, Jean Halain"
"Alexandre Dumas, Paul Andréota, Christian-Jaque"
Beverly Arnold
"Joan Gardner, Robert Silliphant, Don Marquis"
"Walter Newman, Frank Pierson, Roy Chanslor"
Niisan Takahashi
"Jeff Smith, Dok Stanford, Bill Rebane"
"Jerry Sohl, H.P. Lovecraft"
Dan Curtis
"Lorenzo Semple Jr., Bob Kane, William Dozier"
Trevor Peacock
"Thomas W. Blackburn, Paul Crabtree, R. John Hugh"
Ousmane Sembene
"Roger Hanin, Jean Curtelin"
"Woody Allen, Frank Buxton, Louise Lasser"
"Jesús Franco, Luis Revenga, Gert Günther Hoffmann"
"Kim Ki-duk, Yun-sung Seo"
"Iwao Yamazaki, Ryûzô Nakanishi, William Ross"
"Len Korobkin, Harvey Kurtzman, Arthur Rankin Jr."
"Cornell Woolrich, François Truffaut, Jean-Louis Richard"
Murray Schisgal
"Agenore Incrocci, Furio Scarpelli, Dino Risi"
"E.R. Braithwaite, James Clavell"
"Frederick Knott, Robert Carrington, Jane-Howard Hammerstein"
"Ranald MacDougall, Adrian Spies, Wilbur Smith"
Isobel Lennart
Tony Benedict
Charles A. Wallace
"Bill Walsh, Don DaGradi, Gordon Buford"
"Anthony Scott Veitch, Harry Alan Towers, Jesús Franco"
"Sam Hall, Gordon Russell"
Roy Andersson
Erich Segal
Irv Spector
Donald Brittain
"D.H. Lawrence, Larry Kramer"
"M. Wegener, Theo Maria Werner, Werner P. Zibaso"
"Sam Hall, Dan Curtis"
Éric Rohmer
"H.R. Christian, Joe Viola, Jonathan Demme"
"Robert Crumb, Ralph Bakshi"
"Damiano Damiani, Fulvio Gicca Palli, Enrico Ribulsi"
"Yves Robert, Francis Veber"
"Robert Louis Stevenson, Milton Subotsky"
"Wes Craven, Ulla Isaksson"
"Lucile Laks, Marcello Danon"
Larry Cohen
"John Carpenter, Dan O'Bannon"
"Jesús Franco, Elisabeth Ledu de Nesle"
Nigel McKeand
"Daphne Du Maurier, Allan Scott, Chris Bryant"
Wei Lo
"Francesco Barilli, Massimo D'Avak, Gaston Leroux"
Steve Shagan
"Sergio Donati, Goffredo Fofi"
"Stanley R. Greenberg, Harry Harrison"
Hao Ho
Sean Jara
Blanche Hanalis
"Oscar Williams, Fred Weintraub, Alexandra Rose"
Roy Moore
"Leigh Vance, Clive Egleton"
"Ed Brennan, Joseph Van Winkle, James Hannah Jr."
"Anthony Hinds, Mary Shelley"
"Kazuo Kamimura, Kazuo Koike, Norio Osada"
"Louis Malle, Joyce Buñuel, Ghislain Uhry"
"L.Q. Jones, Harlan Ellison, Wayne Cruseturner"
"Frank Pierson, P.F. Kluge, Thomas Moore"
"Bitto Albertini, Ambrogio Molteni"
"Christopher Frank, Andrzej Zulawski"
Woody Allen
"David E. Boston, Robert L. Burrill, David R. Kottas"
Jack Davies
"Dario Argento, Bernardino Zapponi"
Jim McCullough Jr.
Hsin-Yi Chang
Kuang Ni
Laird Koenig
"Georges Conchon, Jean-Jacques Annaud"
Wilford Lloyd Baumes
"Thomas Harris, Ernest Lehman, Kenneth Ross"
"William R. Stromberg, Richard Cardella"
Neil Simon
"Chiho Katsura, Chigumi Ôbayashi"
"Yuen Chor, Lung Ku"
"Beverley Cross, Ray Harryhausen"
"Alberto Silvestri, Sergio Sollima"
"Stanislav Rostotskiy, Gavriil Troyepolsky"
"See-Yuen Ng, Lu Tung"
"Bruce Le, Fan Pan"
"Karl Maka, Eric Tsang"
"Harold Ramis, Douglas Kenney, Chris Miller"
Gordan Mihic
"François Truffaut, Marie-France Pisier, Jean Aurel"
"Jeb Rosebrook, Bob Barbash, Richard H. Landau"
"Melissa Mathison, Jeanne Rosenberg, William D. Wittliff"
Stanford Whitmore
"Bruce Cohn, Mark Medoff, Joseph Fraley"
"Wei-Hung Teng, Liang-Tai Tu, Yuk Long Wong"
"Robert Kaufman, Mark Gindes, Bram Stoker"
"Jerry Juhl, Jack Burns"
"Biagio Proietti, Edgar Allan Poe, Lucio Fulci"
Vernon Zimmerman
"R. Chetwynd-Hayes, Edward Abraham, Valerie Abraham"
"J.D. Feigelson, Butler Handcock"
"Gianfrancesco Guarnieri, Leon Hirszman"
"Scott Spencer, Judith Rascoe"
"William A. Attaway, Bruce Bahrenburg, Zev Cohen"
Bill Forsyth
"Franco Castellano, Giuseppe Moccia"
"Ron Gantman, Joaquín Grau, Juan Piquer Simón"
"Jack Sholder, Robert Shaye, Michael Harrpster"
"DeWitt Bodeen, Alan Ormsby, Paul Schrader"
"David Odell, Jim Henson"
"Han Hsiang Li, Guanzhong Luo, Nai'an Shi"
"Walter Farley, Richard Kletter, Jerome Kass"
"Dardano Sacchetti, Elisa Briganti"
Pedro Almodóvar
"Masaru Igami, Isao Matsumoto, Ichirô Ôtsu"
"Tom McLoughlin, Michael Hawes"
"J.P. Gallagher, David Butler"
"Alan Shapiro, Bobby Fine"
"John Landis, George Clayton Johnson, Richard Matheson"
"Andrew Lane, Wayne Crawford"
"Frank Herbert, David Lynch"
Michael Cristofer
Werner Herzog
"Claudio Fragasso, Rossella Drudi"
"Ted Allan, John Cassavetes"
Vladimir Gurkin
"Kevin Reynolds, John Milius"
"Helmut Zenker, Peter Patzak"
Ted Newsom
"Lloyd Alexander, David Jonas, Vance Gerry"
Raymond Pak-Ming Wong
"Reidar Jönsson, Lasse Hallström, Brasse Brännström"
"Robert E. Howard, Clive Exton, George MacDonald Fraser"
Douglas Heyes
"John Carpenter, Desmond Nakano, William Gray"
Ron Bass
Michael Thomas Montgomery
"Fred Dekker, Ethan Wiley"
"Bob Dahlin, Peter L. Bergquist"
Rolf de Heer
"Ron Friedman, Flint Dille, Douglas Booth"
Jeff Franklin
Michael Swerdlick
"Sonia Borg, Grahame Webb, Tony Morphett"
"Robert J. Avrech, Ken Blackwell, Ken Wiederhorn"
"Petra Haffter, Peter Reinholz, Francis Ryck"
"Shane Black, Fred Dekker"
"Eric Red, Kathryn Bigelow"
"Andrew Smith, Ken Finkleman"
"Rob Grant, Doug Naylor"
"A.E. Peters, Michael Gonzales, Shimon Arama"
Cindy Cirile
"John Bryson, Robert Caswell, Fred Schepisi"
"Sam Egan, John Paragon, Cassandra Peterson"
"Krzysztof Kieslowski, Krzysztof Piesiewicz"
Kwok Chi Tsang
"J. Greg De Felice, Zane W. Levitt"
"Walter Hill, Harry Kleiner, Troy Kennedy Martin"
"Wing-Fai Wong, Kwong-Kim Yip"
Roy London
Kevin Wade
"Craig Bolotin, Warren Lewis"
"Masuji Ibuse, Shôhei Imamura, Toshirô Ishidô"
Amy Heckerling
"Roy Langsdon, John Platt"
"Olga Pehar, Umberto Lenzi"
"R. Lance Hill, Hilary Henkin"
Richard Price
Sherry Hormann
Aki Kaurismäki
"Susan Hill, Nigel Kneale"
"Jim Thompson, Robert Redlin, James Foley"
Mike Hodges
"Carey W. Hayes, Chad Hayes"
"Alan Burnett, Carl Barks, Ted Osborne"
Thomas McKelvey Cleaver
"Tom Clancy, Larry Ferguson, Donald E. Stewart"
"Jonathan Tydor, David Koepp"
John Kostmayer
"Lai Ling Cheung, Ho Yi"
"Amy Heckerling, Neal Israel"
"Peter Viertel, James Bridges, Burt Kennedy"
"Chi-Ho Fong, Kwong-Kim Yip, Yeuk-Kwong Yuen"
David Kirschner
"Mark Peploe, Frederick Seidel"
Brian Moore
Adam Rifkin
"Tony Hillerman, Neal Jimenez, Eric Bergren"
"Fannie Flagg, Carol Sobieski"
"Wing-Fai Wong, Patrick Leung"
Dale Launer
Spalding Gray
Laurice Elehwany
"Alfonso Cuarón, Carlos Cuarón"
Topper Carew
Kam-Hung Ng
"D.J. MacHale, Ned Kandel"
"Rémy Belvaux, André Bonzel, Benoît Poelvoorde"
"Darko Bajic, Aleksandar Barisic"
Neil Jordan
"Tab Hunter, Janet MacLean"
"Martin Donovan, David Koepp"
"Mario Benedetti, Juan Gelman, Oliverio Girondo"
Don Roos
J. Stephen Maunder
Christopher Crowe
"Baoshan Dai, Baorui Zhang, Zien Zhang"
David Letterman
"Stephen King, George A. Romero"
Rusty Cundieff
"Mark Rosenthal, Lawrence Konner"
"Tom Ropelewski, Leslie Dixon, Amy Heckerling"
Pepe Danquart
Carol Heikkinen
"Tina Turner, Kurt Loder, Kate Lanier"
"Rockne S. O'Bannon, Diane Frolov, Andrew Schneider"
"Anna Sewell, Caroline Thompson"
"Takashige Ichise, Joel Soisson"
Matthew Bright
"Mariano Baino, Andy Bark"
Robert C. Cooper
"Roman Cheung, Stephen Chow, Vincent Kok"
"Nathan Long, Steve Wang, Yoshiki Takaya"
"Nancy Meyers, Charles Shyer"
"Mildred Cram, Leo McCarey, Delmer Daves"
C.M. Talkington
"Roberto Benigni, Vincenzo Cerami, Michel Blanc"
"Laurice Elehwany, Janet Kovalcik"
Vincent Kok
"Tim Metcalfe, Miguel Tejada-Flores, Steve Zacharias"
"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland"
"Shing Law, Yan-Tung Leung, Lap-Kwong Ng"
"Terry Borst, Frank De Palma, Chris Roberts (story)"
"Yôji Enokido, Naoko Takeuchi, Lisa Lumby-Richards"
Craig J. Nevius
"Sherwood Schwartz, Laurice Elehwany, Rick Copp"
"Gary David Goldberg, Brad Hall"
"Sheldon Allman, Bobby Pickett, Joel Cohen"
"Jymn Magon, Chris Matheson, Brian Pimental"
Jeffrey Lau
Maria Maggenti
Shunji Iwai
Paula Milne
"Harry Birckmayer, Daisy von Scherler Mayer, Sheila Gaffney"
"Scott Alexander, Larry Karaszewski, Michael Hitchcock"
"Alan Martin, Jamie Hewlett, Tedi Sarafian"
"Richard Hatem, Matt Reeves, J.F. Lawton"
"Brent Friedman, Bryce Zabel"
"Hark Tsui, Koan Hui, Teddy Chan"
Fred Wolf
"S.O. Lee, J. Reifel, Buzz Dixon"
Suzan-Lori Parks
"Henry S. Villard, James Nagel, Allan Scott"
"Helena Kriel, Mira Nair, Wajida Tabassum"
"Martin Lawrence, Bentley Kyle Evans, Kenny Buford"
Ivy Ho
William Applegate Jr.
"Don Woodman, Gordon Melbourne, Roy Sallows"
Robert Gordon
Wong Kar-Wai
"Alex Proyas, Lem Dobbs, David S. Goyer"
"Zeljko Mijanovic, Andrew Horton, Nikola Jovanovic"
"John Brancato, Michael Ferris"
Theodore Witcher
"Gilbert Adair, Richard Kwietniowski"
"John Maybury, Don Jordan"
"Ron Osborn, Jeff Reno, Kevin Wade"
"Lowell Cunningham, Ed Solomon"
"William Mickelberry, Dan Vining"
"Stephen King, Frank Darabont"
"James Jones, Terrence Malick"
"Larry Beinhart, Hilary Henkin, David Mamet"
"Lowell Cunningham, Robert Gordon, Barry Fanaro"
Kaneto Shindô
Tina Andrews
John Irving
Spike Lee
Titus Popovici
Ferenc Leroget
"J. Stephen Maunder, Andreas Kyprianou"
"Michael Shaara, Dana Stevens"
"Duane Capizzi, Jeff Kline, Richard Raynis"
"Thelma Brooks, Juan Duval, S. Edwin Graham"
Ferde Grofé Jr.
"Stanley Ralph Ross, R.S. Allen, Harvey Bullock"
"Adam Coleman Howard, Justin Lazard"
"Tairone Feitosa, José Louzeiro, Sergio Rezende"
"Zenzô Matsuyama, Takeo Tomishima"
"Jim Wheat, Ken Wheat, David Twohy"
Clelle Mahon
"Danny Jacobson, Kenny Schwartz, Rick Wiener"
"Marc Norman, Tom Stoppard"
Norman Corwin
"Ron Hulme, J. Stephen Maunder (creator), Jalal Merhi (creator)"
"William Quindt, Harry Piel"
Serge Frydman
"Joy Batchelor, Mary Cathcart Borer"
Kianoush Ayari
Tom Morrison
"Yuri Zeltser, Leon Zeltser"
Lukas Moodysson
"John Strege, Takashi Bufford"
Neal Marshall Stevens
"Willie Morris, Gail Gilchriest"
Mike Binder
"Justin Chin, Garry M. Gaber (additional story)"
"Duane Poole, Louis Vittes"
Cheon-ho Jang
James Toback
Jim Jarmusch
"Cathleen Schine, Maria Maggenti"
Metin Erksan
"Lars von Trier, Sjón"
"Lee Frost, Wes Bishop, Ronald Goldman"
"George Saunders, Elvis Restaino"
"Susanna Kaysen, James Mangold, Lisa Loomer"
"Shawn Wayans, Marlon Wayans, Buddy Johnson"
"Robb White, Dick Beebe"
"Robert Engels, John Schouweiler, Roy Knyrim"
"Marilyn Sadler, Roger Bollen, Stu Krieger"
"Cesare Ferrario, Fulvio Ricciardi, Linda Brunetta"
"Tom Butterworth, Jez Butterworth"
"Herman Boxer, Frank R. Stockton"
"Hui-Ling Wang, James Schamus, Kuo Jung Tsai"
"Satoshi Tajiri, Takeshi Shudô, Jun'ichi Masuda"
Serge Rodnunsky
"David Kirschner (characters), Len Uhley (screenplay)"
Gina Prince-Bythewood
"Dominic Anciano, Ray Burdis"
"Chuck Pfarrer, Jonathan Lemkin"
Ao-Hsun Sung
"Hisataka Kai, Hideo Sasai"
Kuang Ni (screenplay)
"Joe Nussbaum, Daniel Shere, Timothy Dowling"
Paul Bunnell
Philippe Blasband
"James Cameron, Charles H. Eglee"
Stanley Breeden
"Darryl Quarles, Don Rhymer"
Ronnie Christensen
"Satoshi Tajiri, Takeshi Shudô"
Armando Visconti
"Yuriy Koval, Leonid Nosyrev"
"Jocelyn Moorhouse, P.J. Hogan"
John Dilworth
Wesley Strick
Mark Mayerson
"Gregory Gieras, D.B. Smith"
Phil Smoot
Valerie Breiman
Thomas Baum
Catherine Breillat
"Sean Abley, Tracy Berna, David C. Cobb, Lowell Cunningham (comic book), Craig Hanna, Anthony Miceli"
Zdenek Sverák
"Matt Cimber, George E. Roberts, John W. Shadow"
Rob Zombie
Marc Lafia
William Mahone
Dylan Moran
Robert Gosnell
Yavuz Turgul
"Guido Manuli, Judy Rothman Rofé"
"Ali Özgentürk, Chingiz Aitmatov"
"Hark Tsui, Julien Carbon, Laurent Courtiaud"
Mark Andrus
"Mark Bowden, Ken Nolan"
"Darryl Quarles, Peter Gaulke, Gerry Swallow"
"David Wagner, Brent Goldberg, Stuart Blumberg"
"Michael Frost Beckner, David Arata"
"Camillo Boito, Tinto Brass"
Wisit Sasanatieng
"Vicente Aranda, Antonio Larreta, Manuel Tamayo y Baus"
"Robert V. Barron, Gary Friedrich, Michael G. Ploog"
Teresa Lillygren (dialogue)
Paul Thomas Anderson
"Mogens Rukov, Thomas Vinterberg"
"George Carleton Brown, John Dunkel"
"Shin'ichirô Watanabe, Keiko Nobumoto"
"Mike Bender, Adam Jay Epstein, Andrew Jacobson"
Mike White
"James Ellroy, David Ayer"
"Daniel Taplitz, Dean R. Koontz"
Neil Marshall
"Chris Metzen (storyline consultant), Bill Roper (storyline consultant)"
George Huang
Gordy Hoffman
"Alex Sanger (screenplay), Karen Craig (screenplay), Bret Easton Ellis (Characters created by)"
Norbert Eberlein
"Hisao Maki, Charles E. Morris"
David J. Skal
"William Douglas-Home, Jenny Bicks, Elizabeth Chandler"
"Thomas Harris, Ted Tally"
"Shashank Dabral, Anubhav Sinha"
Manoochehr Keymaram
"Jim Barton, Sophie Dix"
"Ho-sik Kim, Jae-young Kwak"
Barbara Jampel
Tim Burton
"Kevin Burns, Raphael Simon"
"Brian Anthony, Ed Singer"
Kevin Smith
"Jing-kang Chou, Yang Yang"
James Bickert
"Sunny Chan, Soi Cheang"
Jason Filardi
"Craig Mazin, Pat Proft, Shawn Wayans"
"Susan Estelle Jansen, Ed Decter, John J. Strauss"
"K.C. Bascombe, John Sullivan"
"Kôji Suzuki, Takashige Ichise, Hideo Nakata"
"Eve Ahlert, Dennis Drake"
"Dr. Seuss, Alec Berg, David Mandel"
"Doris Egan, Hans Rodionoff, Clive Barker"
"John Murlowski, William Porter"
Richard Curtis
Rolf Forsberg
"Alejandro Gamboa, Francisco Sánchez"
"Andre Dubus III, Vadim Perelman, Shawn Lawrence Otto"
"Mark A. Altman, Dan Bates, Dave Parker"
"Salah Abouseif, El Sayed Bedeir, Naguib Mahfouz"
"Walter Farley, Steven Farley, Jeanne Rosenberg"
"Fenton Bailey, Randy Barbato, James St. James"
"Jeff Tremaine, Spike Jonze, Johnny Knoxville"
"Gabriele Muccino, Heidrun Schleef"
Ron Nyswaner
"Keero Birla, Jim Corbett"
"Achim von Borries, Henk Handloegten, Annette Hess"
Walter Summers
"Ted Elliott, Terry Rossio, Stuart Beattie"
Jenny McCarthy-Wahlberg
Robert Parigi
"John Hughes, Debra Frank, Steve L. Hayes"
"Amanda Brown, Eve Ahlert, Dennis Drake"
"Tracy Chevalier, Olivia Hetreed"
Forugh Farrokhzad
"Michael Swerdlick, Troy Byer"
Robert Rodriguez
Patty Jenkins
"Cindy Kelley, Michael Landon Jr., Janette Oke"
"Derek Drymon, Tim Hill, Stephen Hillenburg"
"Aoi Hiiragi, Hayao Miyazaki, Reiko Yoshida"
"Alex Buresch, Alain Gsponer, Edin H.-Hadzimahovic"
"Jim Davis, Joel Cohen, Alec Sokolow"
"Melissa Carter, Elisa Bell"
"Craig Mazin, Jim Abrahams, Pat Proft"
Marc Hershon
Yann Samuell
Michael Davis
"Elan Mastai, Michael Roesch, Peter Scheerer"
"Ronald Everett Capps, Shainee Gabel"
Anya Kochoff
Douglas Wood
"Sanjay Leela Bhansali, Bhavani Iyer, Prakash Kapadia"
"Ian McEwan, Joe Penhall"
Taylor Grant
"Helen Cross, Pawel Pawlikowski, Michael Wynne"
"Kôji Suzuki, Hideo Nakata, Takashige Ichise"
"Jack Perez, Adam Glass"
"Regine Lassen (screenplay), Josef Schnelle (screenplay), Bert Schrickel (screenplay), Hans de Beer (creator)"
"John Passfield (script), George Stamatiadis (additional dialogue)"
"Lexi Alexander, Dougie Brimson, Josh Shelov"
"Feng Li, Bin Wang, Yimou Zhang"
"Dan Harmon, Rob Schrab, Pamela Pettler"
Joanne Reay
"Josh Friedman, James Ellroy"
Mark Frost
"Gerard Soeteman, Paul Verhoeven"
"Jerry Seinfeld, Spike Feresten, Barry Marder"
"Vidwan Kanwasri, Rakesh Kumar, D. Prabhakar"
Colin Patrick Lynch
"Brett Orr (screenplay), Phillip J. Roth (screenplay)"
"Cormac Wibberley, Marianne Wibberley, Geoff Rodkey"
"Charles Belden, Chad Hayes, Carey W. Hayes"
"Anna Sandor, Bruce Graham"
"Stephanie Savage, Josh Schwartz"
Kim Ki-duk
Paolo Sorrentino
Keith Alan Morris
"Anurag Kashyap, Hussain Zaidi, Piyush Mishra"
J.D. Smith (teleplay)
Wil Zmak
"Stephen King, Nicholas Mariani"
"Victor Levin, Jae-young Kwak, Ho-sik Kim"
Bo Qu
"William Johnston, Peter Bloore, Rik Carmichael"
"David Twohy (story), Brett Matthews (screenplay), Ken Wheat (characters), Jim Wheat (characters)"
"Dagur Kári, Rune Schjøtt"
"David Auburn, Eun-Jeong Kim, Ji Na Yeo"
Paul Moore
"Simon Maginn, Stephen Massicotte"
David Shore
John Passfield
Lewis Black
"Eric Assous, Tonino Benacquista, Richard Berry"
"Billy Shebar, Shi-Zheng Chen"
"Seiko Tanabe, Aya Watanabe"
"Claire Cook, Gary David Goldberg"
"George Doty IV, Ed Scharlach, Mark Turosz, Joe Sichta (story)"
"Roberto Benigni, Vincenzo Cerami"
Yoshihito Matsuzaki
Reid Rosefelt
Bertrand Blier
"Mark V. Olsen, Will Scheffer"
"Carl Ellsworth, Dan Foos"
Sergio Garrone
"Don Rhymer, Darryl Quarles"
Tyler Perry
Tahir Shah
"Kyouichi Katayama, Yûji Sakamoto, Chihiro Itô"
"Servet Aksoy, Safak Güçlü"
"John Woo, Khan Chan, Cheng Kuo"
Craig Mazin
Nick Cassavetes
"Marc Klein, Melissa Bank"
Khosrow Parvizi
"Richard LaGravenese, Steven Rogers, Cecelia Ahern"
"Yû Koyama, Mataichirô Yamamoto, Yoshiaki Kawajiri"
"Captain Mauzner, Simon Monjack, Aaron Richard Golub"
Brian Avenet-Bradley
"Kenneth M. Badish, Boaz Davidson, David Goodin"
"Robert Dean Klein, Craig Singer"
Naoki Urasawa
Martin Wheeler
Jared Tweedie
"Yang Kao, Han Hsiang Li"
Lars Tømmerbakke
"Radhika Rao, Vinay Sapru, Milap Zaveri"
Bill Cowell
"Paul W.S. Anderson, Robert Thom, Charles B. Griffith"
Alek Keshishian
Daniel Sánchez Arévalo
"Glen Morgan, Roy Moore"
"Vivek Agnihotri, Rohit Malhotra"
Brad Gann
Shirish Kunder
"Axel Friedrich, Jan Tenhaven"
"Arthur Conan Doyle (stories), Vladimir Valutskiy (screenplay)"
"Henry James, Peter Waddington"
Craig Brewer
"James L. Brooks, Matt Groening, Al Jean"
"Damián Romay (screenplay), Lorenzo Doumani"
