Internet_Movie_Database_Rating,Metacritic_Rating,Rotten_Tomatoes_Rating
6.6/10,36/100,25%
7.3/10,75/100,89%
5.7/10,65/100,70%
7.6/10,,
7.0/10,,
8.9/10,,
7.4/10,71/100,82%
4.9/10,,38%
6.4/10,,70%
5.6/10,,
7.3/10,83/100,93%
4.3/10,,50%
5.6/10,30/100,20%
6.3/10,50/100,43%
6.6/10,67/100,86%
7.1/10,,
6.4/10,54/100,43%
8.8/10,,
6.5/10,65/100,73%
4.8/10,68/100,86%
7.3/10,88/100,95%
8.2/10,,79%
,,
5.5/10,,
5.8/10,,
5.9/10,65/100,66%
3.4/10,12/100,6%
7.3/10,,98%
6.4/10,,
8.7/10,,
7.2/10,,
6.1/10,43/100,38%
6.6/10,,
5.3/10,,
6.6/10,58/100,71%
7.7/10,68/100,77%
8.1/10,78/100,
7.8/10,,
6.5/10,,
7.3/10,,
7.5/10,,
9.6/10,,
5.7/10,31/100,37%
8.2/10,,
7.9/10,,
7.1/10,,
4.8/10,,
5.3/10,,
,,
5.9/10,,64%
6.7/10,,
6.0/10,,
4.8/10,,100%
7.8/10,,
5.5/10,,
7.4/10,,
6.4/10,60/100,72%
6.5/10,70/100,80%
6.9/10,,
8.4/10,,
8.2/10,,
7.2/10,,
6.8/10,,
7.5/10,65/100,90%
7.8/10,,
6.1/10,43/100,81%
6.9/10,,
7.1/10,76/100,92%
7.0/10,46/100,59%
8.5/10,,
6.8/10,,75%
8.2/10,69/100,77%
8.1/10,,
7.0/10,75/100,87%
4.4/10,,
7.4/10,,
3.3/10,,7%
6.3/10,52/100,62%
6.5/10,,
6.3/10,37/100,37%
6.9/10,,100%
7.0/10,83/100,95%
6.2/10,,
7.1/10,,
7.2/10,73/100,84%
5.2/10,41/100,
7.9/10,,75%
6.4/10,72/100,100%
7.6/10,,
7.5/10,,
4.0/10,,
8.0/10,,
4.7/10,65/100,81%
7.1/10,,
4.9/10,,
6.6/10,85/100,89%
7.0/10,,46%
5.3/10,,42%
5.5/10,,
5.1/10,,
7.9/10,,
6.1/10,59/100,73%
8.4/10,,
5.6/10,79/100,95%
4.3/10,,
6.0/10,,20%
6.4/10,68/100,81%
,,
,,
4.9/10,,

