Director
Jane Campion
Onur Bilgetay
Chris Columbus
"ALi Khan AK, Sharan Sharma"
Paul Kowalski
"Sam Gorski, Niko Pueringer"
"Glenn Ficarra, John Requa"
Howard Deutch
Sôichi Masui
Ogodinife Okpue
Noboru Iguchi
Nicholas Winter
Taika Waititi
Aleem Khan
Brian Andrew Mendoza
Hernán Jiménez
Jung Ji-woo
Tim Burton
Amanda Nell Eu
Mike Binder
Darling Krishna
"Graham Phillips, Parker Phillips"
James Campbell
Haruo Sotozaki
Jay Oliva
Abe Sylvia
"Matt Peters, Christina Sotta"
Mark Steven Johnson
Godfrey Ho
Suri
Peter Chelsom
Ridley Scott
"Reid Carolin, Channing Tatum"
Paco Caballero
Sion Sono
Hasan Fathi
Adam McKay
Niels Arden Oplev
Martin Campbell
Natalie Portman
D.J. Caruso
David O. Russell
Sekhar Kammula
Nomawonga Khumalo
Jeff Baena
Anthony Aguiar
Larry Wade Carrell
Chookiat Sakveerakul
John Hamburg
Denis Villeneuve
Ti West
"Michael Govier, Will McCormack"
Pierre Morel
Marc Price
Michael Morrissey
Richard Crudo
Natsuki Imai
Jt Barnett
Svyatoslav Podgaevskiy
Daniel Alfredson
Eric Weiss
Niki Stein
David Thies
Luca Guadagnino
Yaron Zilberman
Hiroshi Fukutomi
George Henry Horton
Dana Mennie
Michael Moore
Charles Band
Dan Bradley
Larry Blamire
Robert Schwentke
D. Djajakusuma
Bernardo Arellano
Anastasia Falileieva
Darin Scott
"Matthew Hamachek, Matthew Heineman"
Troy Nixey
Mike Reid
Kôtarô Tamura
Min Sook Lee
Steven K. Tsuchida
Ivan Zuccon
Ben Ketai
Elisabeth Röhm
Bill Purple
Alex Herron
"Elizabeth Banks, Steven Brill, Steve Carr"
Shanker Raman
Patrick Wilson
Shekhar Kapur
Vanessa Caswill
Lev L. Spiro
Connor Marsico
Rafael Montero
Reginald Le Borg
Lars Montag
Keith Odett
Filip Zylber
Victor Salva
Gregory Connors
Kier-La Janisse
Michael Bay
Analeine Cal y Mayor
Ulrich Seidl
John Putch
Patrick Rea
Camilla Calamandrei
Tim Travers Hawkins
Kim Chapiron
Chad Feehan
Wanuri Kahiu
"Michael Rasmussen, Shawn Rasmussen"
Joseph Le
Dermot Mulroney
Diego Savignano
Emre Kabakusak
Piers Garland
Alain Corneau
Jim Sheridan
Peter Gersina
Lorenzo Sena
Raihan Rafi
Wojciech Smarzowski
Catherine Hardwicke
Phil Traill
"Phil Lord, Christopher Miller"
Jake Kasdan
"Cameron Cairnes, Colin Cairnes"
Garret Price
John Stockwell
Colm Bairéad
Marc Martínez Jordán
Ilksen Basarir
Guy Ritchie
Robert P. Davis
James Beaufort
"Glenn Campbell, Tammy Klein"
Bang Woo-ri
William Eubank
Ashley Wilson
Park Hyeon-jin
Teresa Sutherland
Brandon Vietti
Mark Tonderai
Emmett Callinan
Marcus Baldini
Grey S. Wears
Ray Giarratana
Daniel Espinosa
"Kuang Hui, Yi-Hsiu Lin"
Emily Ting
Dibakar Banerjee
"Drew Glick, Joe Munafo"
"César Ducasse, Mathieu Peteul"
Mia Hansen-Løve
Sara Dosa
"Brian Klein, Amanda Baker"
Christian Ditter
Frédéric Beigbeder
Berkley Brady
"Abe Levy, Silver Tree"
Michel Leclerc
Ming Jin Woo
Nikolaj Arcel
Bruce Beresford
Cecilia Actis
Jacques Peretti
Todd Solondz
"Shari Springer Berman, Robert Pulcini"
Ilian Djevelekov
Giovanni Veronesi
Suri Krishnamma
Stephan Rick
Gavin Hood
Anton Megerdichev
Rodrigo Cortés
Lawrence Blume
"Stanley Tsang, Joey Zou, Xiuping Liu"
"Uwe Anders, Christian Baumeister, Oliver Goetzl"
Ömer Faruk Sorak
Shane Stanley
Patricia Riggen
Dean Parisot
Karel Tuytschaever
Ryan White
Sandra Nettelbeck
Arie Posin
Maneesh Sharma
Abbas Kiarostami
Jonathan Holiff
Susanne Bier
Rocky Law
"Puttipong Pormsaka Na-Sakonnakorn, Wasin Pokpong, Puttipong Promsaka Na Sakolnakorn"
Paul Soter
Gilles Paquet-Brenner
Alexandros Avranas
Drew Glick
Shyamaprasad
John Huddles
Frank Pavich
Tom Green
"Naoyoshi Shiotani, Norihiro Naganuma"
"Lisanne Pajot, James Swirsky"
Michael Winterbottom
Rose Glass
François Ozon
Warren Pereira
Danny Mooney
Alan Taylor
"Clay Kaytis, Fergal Reilly"
"Drew Glick, Antonio Joyner, Ray Persaud(co-director)"
Gary Marcuse
Hidetaka Miyazaki
Kabir Khan
Patricia Font
David Bowers
Jared Jacobs
Sebastián Lelio
Mathieu Turi
"Drew Glick, Ray Persaud"
Frank V. Ross
Damian Lee
Morten Tyldum
Franklin Ritch
Jalmari Helander
David Soren
Clint Walker
David L. Hunt
Skye Borgman
Eli Roth
Ken Ochiai
Tyler Shields
Jean-Marc Peyrefitte
Mandeep Kumar
Julian Jarrold
Stuart Murdoch
"Isara Nadee, Issara Nadee"
Nisha Pahuja
Mark Edwin Robinson
Fen Tian
James Napier Robertson
Josh Boone
"Gauri Joshi, Raaj Shaandilyaa"
Jan Soldat
Hollis Frampton
Michael Matthews
Gabriele Mainetti
Nick Basile
Joel Hopkins
Michael Tiddes
Pradeep Ranganathan
Jack Heller
"Petr Oukropec, Bohdan Sláma"
Neslihan Yesilyurt
"Dianna Agron, Peter Chelsom, Claus Clausen"
Rob Willey
Jessie Nelson
"Paul Tibbitt, Mike Mitchell"
Pearry Reginald Teo
Alexandre Castagnetti
Aleksandr Trusov
"Drew Glick, Ray Persuad"
Shana Feste
Karen Shakhnazarov
Michael Mayer
Ana Lily Amirpour
Marina de Van
Roland Emmerich
Subbiah Nallamuthu
Scott Stewart
Michael Paulucci
Mark Griffiths
Walt Becker
Mikel Cee Karlsson
Michael Medeiros
Tara Anaïse
Brian McDonnell
Steve Martino
"Kiyotaka Suzuki, Yoshitomo Yonetani"
Sarah McCarthy
Amy S. Weber
"Jon Knautz, Trevor Matthews"
Alfonso Gomez-Rejon
William Forest Crouch
Ira Sachs
Andrei Tanase
Steven Feinartz
Andreas Prochaska
Yuen Woo-Ping
Michal Gazda
Pål Øie
"John Francis Daley, Jonathan Goldstein"
Chethan Keshav
Jim Gaffigan
Juliet Lamont
Wang Bing
Charlie McDowell
Dandela Yelleshwara Rao
Nikhil Mahajan
Sean Charmatz
Adrian Powers
"Nick Fabiano, Richard Alan Reid"
Wade Gasque
Lluís Quílez
"Mark Burton, Richard Starzak"
Francis Lawrence
Paul Solet
Thomas Daley
Michael Medaglia
"Charlie Bean, Paul Fisher, Bob Logan"
Anja Salomonowitz
Byron Conrad Erwin
Whit Stillman
Ananta Jalil
Bai Wu
Carlos Vermut
"Mark Linfield, Justine Allan, Alistair Tones"
Tristan Price
Marielle Heller
Thomas Cailley
Chris Bolan
Patricio Ginelsa
"Chris Riedell, Nick Riedell"
Kyle Newacheck
"Eric Radomski, Bruce Timm"
André Øvredal
Ian Kessner
Cyprien Vial
Rajesh Ganguly
Mike Mitchell
"Peter Pau, Tianyu Zhao"
Douglas Schulze
Roger Spottiswoode
Tate Taylor
Michael Dudok de Wit
Mike Flanagan
Arthur Harari
Jacob Chelkowski
Gaspar Noé
Edward Evers-Swindell
Lena Khan
Jesse Haaja
Coz Greenop
Ben Young
Anna Biller
"Michael Haertlein, Jonathan Yi"
Tsui Hark
"Kai-Cheng Liang, Rui-Yang Lin"
Mathew Cullen
Conor McMahon
Jeremy Saulnier
Belinda Sallin
Bethany Ashton Wolf
Chris McKay
Elizabeth Wood
Louise Osmond
Christopher André Marks
James Bushe
David Wnendt
George Butler
Aaron Sorkin
Alister Grierson
Stephen Cognetti
Satoshi Kuwabara
Joe Talbot
Simon Dixon
Andrew Jay Cohen
Wes Ball
Dejan Zecevic
Colm McCarthy
Radek Bajgar
Adam Nimoy
Mike Barker
"Amy Benson, Scott Squire, Ramyata Limbu"
"Jean-Pierre Dardenne, Luc Dardenne"
Parvez Sharma
Armando Iannucci
Laurent Tirard
Peter Duncanson
Stephen Susco
Hernán Belón
"Hidetaka Miyazaki, Isamu Okano, Yui Tanimura"
Vi Anand
Liam Gavin
Tim Hill
Tony Leondis
Paco León
Daniel Minahan
Dan T. Hall
"Sartaj Singh Pannu, Paramjit Singh"
Rory Klein
Park Hoon-jung
"Michael McQuown, Vincent J. Guastini"
Dean Craig
Sukumar
Kevin Phillips
Dan Bush
Greg Berlanti
Fede Alvarez
Bruno Vaussenat
Joshua Leonard
Sampath Nandi
Tim Sutton
Terry Ingram
Christopher Landon
Florian Henckel von Donnersmarck
"Taichi Ishidate, Naoko Yamada"
Johnny Martin
Swapan Saha
Federico Alotto
Aina Clotet
Ed Moore
Jasna Nanut
Clio Barnard
Mark Dindal
Shree Narayan Singh
Tim Brown
Chiu Lee
David Carr
Affonso Uchoa
Colin Teague
Dipu Karunakaran
Alla Grachyova
Stephen Eder
Simon Fellows
"Ali Abbas Zafar, Md Minhaj Miah"
Nanda Kishore
Ute Wieland
Leslie Zemeckis
"Lisa Barros D'Sa, Glenn Leyburn"
Antonio Campos
Jakob Lass
"Karl Ammann, Laurin Merz"
"Thurop Van Orman, John Rice"
Nisha Ganatra
Abdellatif Kechiche
Harald Pokieser
Nila Madhab Panda
Hannes Holm
Victoria Rain Kiriakis
Masaaki Yuasa
Peter Thorwarth
Tim Miller
Atef Salem
David Paul Meyer
Simon Kinberg
Ramin Bahrani
Kimberly Reed
"Aaron Horvath, Michael Jelenic, Pierre Leduc"
Daniel Keith
"Justin P. Lange, Klemens Hufnagl"
James Ashcroft
Peter Daskaloff
Donato Carrisi
Morgan Neville
Peter Farrelly
Ashwiny Iyer Tiwari
"Matthew A. Cherry, Everett Downing Jr., Bruce W. Smith"
Alexis Michalik
Louis C.K.
"Loren Bouchard, Bernard Derriman"
Ravi Srivatsa
Vilok Shetty
"Matt Angel, Suzanne Coote"
Kenneth Branagh
Anand Tiwari
Carl Svensson
Nicolas Bedos
Rawson Marshall Thurber
"Svyatoslav Podgaevskiy, Nathalia Hencker"
Robin Shaw
Domee Shi
Alan Ritchson
Tae-Gyun Kim
Kwang-kuk Lee
Jay Ness
Lukas Dhont
Hugo Gélin
Carl Strathie
Jade Halley Bartlett
Rafal Zielinski
Tom Putnam
Daniel Joseph Rizzuto
Maria Gabriela Cardenas
Remi Weekes
Reinaldo Marcus Green
"Vadim Kapridov, Tammy Langton"
Ribhu Dasgupta
Travis Stevens
"Sara Dosa, Barbara Kopple"
Maria Ripoll
Todd Haynes
Padraig Reynolds
Masaya Kakehi
David Slade
David Lowery
Raaj Shaandilyaa
Nzingha Stewart
"Tom Huckabee, Kent Smith"
Michael Fimognari
Scott Aukerman
Eliza Schroeder
Erin Lee Carr
Rebecca Zlotowski
Yu Li
Vamsee
David Bruckner
James Cotton
Eugene Ashe
Yoshinori Satô
Roger Kumble

