imdbid,sprache
tt0101465,Mohawk
tt0101465,Cree
tt0101465,Latin
tt0101465,French
tt0101660,English
tt0101664,English
tt0101664,Navajo
tt0101664,Hopi
tt0101921,English
tt0102286,Cantonese
tt0102343,English
tt0102467,English
tt0102492,English
tt0102958,Spanish
tt0102958,English
tt0102958,Japanese
tt0102958,Latin
tt0103039,English
tt0103332,Cantonese
tt0103352,English
tt0103905,French
tt0104028,Serbian
tt0104028,Serbo-Croatian
tt0104036,English
tt0104054,English
tt0104070,English
tt0104662,Spanish
tt0104662,German
tt0104765,English
tt0105592,English
tt0105811,English
tt0105903,Mandarin
tt0106052,English
tt0106053,English
tt0106664,English
tt0106880,English
tt0106941,English
tt0107438,English
tt0107473,English
tt0108056,German
tt0108327,English
tt0108551,English
tt0109078,English
tt0109279,English
tt0109307,English
tt0109542,English
tt0109550,English
tt0109550,Russian
tt0109551,English
tt0109962,Cantonese
tt0109962,Mandarin
tt0109962,English
tt0109965,English
tt0110093,English
tt0110391,English
tt0110395,English
tt0110570,Italian
tt0110570,Chinese
tt0110613,English
tt0110852,Cantonese
tt0110982,English
tt0111495,French
tt0111662,Cantonese
tt0111727,English
tt0112513,English
tt0112513,Japanese
tt0112519,English
tt0112572,English
tt0112606,English
tt0113105,English
tt0113198,English
tt0113356,Cantonese
tt0113356,Hokkien
tt0113416,English
tt0113703,Japanese
tt0113729,English
tt0114095,English
tt0114095,Arabic
tt0114188,English
tt0114614,English
tt0114781,English
tt0115151,English
tt0115693,Cantonese
tt0115693,English
tt0115697,English
tt0116030,English
tt0116242,English
tt0116242,French
tt0116242,Italian
tt0116242,Hindi
tt0116414,English
tt0116621,English
tt0116621,Italian
tt0116743,English
tt0116743,Italian
tt0117891,English
tt0117905,Cantonese
tt0117905,Mandarin
tt0117905,English
tt0117911,English
tt0118159,English
tt0118491,English
tt0118556,English
tt0118556,French
tt0118694,Cantonese
tt0118694,Shanghainese
tt0118694,French
tt0118694,Spanish
tt0118843,Romany
tt0118843,Serbian
tt0118843,Bulgarian
tt0118929,English
tt0118930,English
tt0119174,English
tt0119174,Cantonese
tt0119174,German
tt0119174,Spanish
tt0119174,Thai
tt0119572,English
tt0119574,English
tt0119577,English
tt0119577,French
tt0119643,English
tt0119643,Dutch
tt0119654,English
tt0119654,Spanish
tt0120610,English
tt0120689,English
tt0120689,French
tt0120863,English
tt0120863,Tok Pisin
tt0120863,Japanese
tt0120863,Greek
tt0120885,English
tt0120885,Albanian
tt0120912,English
tt0122136,Japanese
tt0123324,English
tt0124315,English
tt0124718,English
tt0125968,Romanian
tt0126456,English
tt0126698,English
tt0126916,English
tt0127385,English
tt0127512,English
tt0127760,English
tt0128000,English
tt0129023,English
tt0133011,Portuguese
tt0134771,Japanese
tt0134771,English
tt0134847,English
tt0134847,Arabic
tt0134858,English
tt0137330,English
tt0138097,English
tt0140745,English
tt0141006,English
tt0141716,English
tt0142032,English
tt0142032,Italian
tt0143940,German
tt0144201,French
tt0144201,Italian
tt0144201,Greek
tt0144201,Turkish
tt0145911,English
tt0149071,Persian
tt0149593,English
tt0149898,English
tt0150662,Swedish
tt0153080,English
tt0155815,English
tt0156812,English
tt0156812,German
tt0159730,English
tt0160910,English
tt0161191,English
tt0162999,English
tt0165247,Cantonese
tt0165247,Korean
tt0165247,English
tt0165643,English
tt0165727,Mandarin
tt0165798,English
tt0165798,French
tt0166252,English
tt0167400,Turkish
tt0168371,Japanese
tt0168629,English
tt0168629,German
tt0168629,Czech
tt0169620,English
tt0172184,English
tt0172493,English
tt0175142,English
tt0185371,English
tt0185936,English
tt0186619,English
tt0186726,English
tt0188071,Italian
tt0188453,English
tt0188453,Russian
tt0188863,English
tt0189649,English
tt0190332,Mandarin
tt0190332,Chinese
tt0190641,Japanese
tt0190641,English
tt0190829,English
tt0197230,English
tt0197951,English
tt0199725,English
tt0199725,Spanish
tt0199727,English
tt0199753,English
tt0201992,Cantonese
tt0202109,N/A
tt0202880,Japanese
tt0203233,Mandarin
tt0203523,English
tt0204676,English
tt0204709,French
tt0204993,English
tt0206080,English
tt0206516,Japanese
tt0208003,English
tt0209942,English
tt0210180,English
tt0210234,Japanese
tt0211042,Italian
tt0211042,Thai
tt0212558,Russian
tt0213361,English
tt0215575,None
tt0218775,English
tt0219374,English
tt0220880,English
tt0221023,English
tt0221218,English
tt0221218,Spanish
tt0221218,Greek
tt0223753,N/A
tt0223755,None
tt0224626,English
tt0228183,English
tt0234137,English
tt0235327,English
tt0240793,English
tt0243255,French
tt0243255,Italian
tt0243255,English
tt0243413,English
tt0244479,Czech
tt0244479,German
tt0244479,English
tt0244479,Slovak
tt0248555,English
tt0251736,English
tt0255006,English
tt0257106,English
tt0259054,English
tt0259656,N/A
tt0262150,English
tt0262287,Telugu
tt0262830,English
tt0263074,Turkish
tt0263288,None
tt0263759,English
tt0263975,Turkish
tt0264429,English
tt0264429,Japanese
tt0264796,English
tt0265086,English
tt0265086,Somali
tt0265086,Arabic
tt0265087,English
tt0265208,English
tt0266987,English
tt0266987,German
tt0266987,Arabic
tt0266987,French
tt0266987,Cantonese
tt0267261,Italian
tt0269217,Thai
tt0270480,Spanish
tt0270954,Japanese
tt0271111,English
tt0272338,English
tt0272539,None
tt0273689,English
tt0274965,English
tt0275277,Japanese
tt0275277,English
tt0277371,English
tt0277371,Italian
tt0277657,N/A
tt0279113,English
tt0279331,English
tt0280241,English
tt0280609,English
tt0281360,English
tt0281919,English
tt0282698,English
tt0283877,English
tt0284244,German
tt0285680,English
tt0285756,English
tt0286788,English
tt0287839,English
tt0287839,French
tt0289765,English
tt0289765,French
tt0290326,Hindi
tt0292600,English
tt0292945,Persian
tt0293069,English
tt0293715,Korean
tt0293715,English
tt0294433,English
tt0294940,N/A
tt0297292,English
tt0297749,English
tt0300051,English
tt0301370,Mandarin
tt0304824,English
tt0305647,Cantonese
tt0305669,English
tt0306047,English
tt0306841,English
tt0306841,Italian
tt0308252,English
tt0308379,Japanese
tt0309530,English
tt0312528,English
tt0313016,English
tt0313285,English
tt0314331,English
tt0314331,Portuguese
tt0314331,French
tt0314405,English
tt0315638,Spanish
tt0315809,None
tt0315809,English
tt0315983,English
tt0315983,Persian
tt0317676,English
tt0318821,Arabic
tt0318850,English
tt0320244,English
tt0322326,English
tt0322802,English
tt0322802,Japanese
tt0322802,Spanish
tt0323807,Italian
tt0323807,French
tt0323807,English
tt0324013,English
tt0325618,Hindi
tt0325618,English
tt0325733,German
tt0325837,None
tt0325837,English
tt0325980,English
tt0327643,English
tt0328077,English
tt0329200,English
tt0331527,English
tt0333780,English
tt0335119,English
tt0336693,Persian
tt0337592,English
tt0338459,English
tt0340855,English
tt0344160,French
tt0344160,English
tt0345591,English
tt0345950,English
tt0346343,English
tt0347618,Japanese
tt0349682,German
tt0356634,English
tt0361841,English
tt0362120,English
tt0362120,Japanese
tt0363827,English
tt0364517,French
tt0364842,English
tt0365513,English
tt0366620,English
tt0369226,English
tt0369672,English
tt0369735,English
tt0369903,English
tt0375611,Hindi
tt0375611,English
tt0375735,English
tt0381784,English
tt0382189,English
tt0382628,English
tt0382856,English
tt0384252,German
tt0384629,English
tt0385002,English
tt0385002,Italian
tt0385002,German
tt0385004,Mandarin
tt0385880,English
tt0387126,English
tt0387126,German
tt0387228,Cantonese
tt0387412,English
tt0387877,English
tt0387877,German
tt0388980,English
tt0389557,Dutch
tt0389557,German
tt0389557,English
tt0389557,Hebrew
tt0389790,English
tt0390559,Telugu
tt0391304,English
tt0391304,American Sign
tt0391908,English
tt0393735,English
tt0393879,Telugu
tt0397065,English
tt0397113,English
tt0397442,English
tt0397538,English
tt0397619,Korean
tt0398868,English
tt0398883,Italian
tt0399060,English
tt0400234,Hindi
tt0400234,English
tt0400673,English
tt0401828,English
tt0402249,English
tt0404220,English
tt0404254,English
tt0405497,Mandarin
tt0407269,English
tt0407658,English
tt0408318,Danish
