imdbid,land
tt1320304,USA
tt13269536,United States
tt1330018,United States
tt13315324,United States
tt13318942,United States
tt13318942,Norway
tt1333125,United States
tt13364468,India
tt13405778,United States
tt13405778,Canada
tt13430858,United Kingdom
tt13430858,France
tt13430858,India
tt13430858,United States
tt1343097,Sweden
tt1343097,Denmark
tt1343097,Germany
tt13444014,United Kingdom
tt13444014,United States
tt1345836,United States
tt1345836,United Kingdom
tt1369845,United States
tt13729062,India
tt1375598,United Kingdom
tt1379161,USA
tt1380224,Mexico
tt1381055,United States
tt13819562,Germany
tt1382246,United States
tt13846542,Poland
tt1385543,United States
tt13885280,United States
tt1391579,Australia
tt13938338,United States
tt1399103,United States
tt1399103,Hong Kong
tt1399103,Cambodia
tt1399103,United Kingdom
tt1399952,Russia
tt14014068,United Kingdom
tt14014068,United States
tt14014068,Mexico
tt1403214,Austria
tt1403214,Germany
tt1403214,France
tt1407050,USA
tt14107778,United States
tt1414111,United States
tt14173880,United States
tt14173880,United Kingdom
tt14184932,United Kingdom
tt1422020,France
tt1422020,Canada
tt1422020,United Kingdom
tt1422800,United States
tt1429449,Canada
tt14298328,United States
tt1430077,United States
tt14344690,United States
tt14365434,Bangladesh
tt1436559,United States
tt14464962,Argentina
tt14464962,New Zealand
tt14486678,Turkey
tt14535168,United Kingdom
tt14586350,United States
tt1459012,France
tt1459012,United States
tt1462041,United States
tt1462041,Canada
tt1462041,Ireland
tt1463208,Germany
tt1463208,Austria
tt1463208,Switzerland
tt14703382,Egypt
tt1471156,United States
tt14852420,Bangladesh
tt1485698,Poland
tt1486185,United States
tt1486185,Canada
tt1487118,United Kingdom
tt1487118,Germany
tt1487118,Austria
tt1490017,United States
tt1490017,Denmark
tt1490017,Australia
tt1490017,Norway
tt14948432,United States
tt14948432,Canada
tt14966898,Australia
tt14966898,United Arab Emirates
tt14966898,United States
tt15004156,United States
tt15017118,United States
tt1507563,United States
tt1507563,United Kingdom
tt1507563,South Africa
tt1507563,Germany
tt1507563,France
tt15109082,Ireland
tt15132930,Spain
tt1513713,Turkey
tt15140592,South Korea
tt1515091,United States
tt15176202,Australia
tt15185242,United States
tt15239678,United States
tt15239678,Canada
tt15239678,United Arab Emirates
tt15239678,Hungary
tt15239678,Italy
tt15239678,New Zealand
