imdbid,schauspieler
tt0117911,Carol Potter
tt0117911,Jennifer Lyons
tt0118159,Mig Macario
tt0118159,Kelly Benson
tt0118159,Frank Cassini
tt0118491,Jan Anderson
tt0118491,Rakie Ayola
tt0118491,Suzanne Packer
tt0118843,Bajram Severdzan
tt0118843,Srdjan 'Zika' Todorovic
tt0118843,Branka Katic
tt0119174,Michael Douglas
tt0119174,Deborah Kara Unger
tt0119174,Sean Penn
tt0120689,Tom Hanks
tt0120689,Michael Clarke Duncan
tt0120689,David Morse
tt0120863,Jim Caviezel
tt0120863,Sean Penn
tt0120863,Nick Nolte
tt0120885,Dustin Hoffman
tt0120885,Robert De Niro
tt0120885,Anne Heche
tt0124315,Tobey Maguire
tt0124315,Charlize Theron
tt0124315,Michael Caine
tt0124718,Denzel Washington
tt0124718,Milla Jovovich
tt0124718,Ray Allen
tt0126698,Jalal Merhi
tt0126698,Bolo Yeung
tt0126698,Cynthia Rothrock
tt0126916,Kevin Costner
tt0126916,Kelly Preston
tt0126916,John C. Reilly
tt0127760,George Montgomery
tt0127760,Victoria Shaw
tt0127760,Marshall Thompson
tt0133011,José Wilker
tt0133011,Marieta Severo
tt0133011,Jonas Bloch
tt0134858,Sande N. Johnsen
tt0134858,Nadja Swensen
tt0134858,Ignacio Del Magro
tt0137330,Traylor Howard
tt0137330,Ryan Reynolds
tt0137330,Richard Ruccolo
tt0140745,Philip Ahn
tt0140745,Philip Bruns
tt0140745,William Devane
tt0141006,Jalal Merhi
tt0141006,Monika Schnarre
tt0141006,Lazar Rockwood
tt0141006,Jamie Farr
tt0142032,William Hurt
tt0142032,Alec Newman
tt0142032,Giancarlo Giannini
tt0143940,Harry Piel
tt0143940,Friedl Hardt
tt0143940,Hilde Hildebrand
tt0144201,Vanessa Paradis
tt0144201,Daniel Auteuil
tt0144201,Frédéric Pfluger
tt0149593,Tom Morrison
tt0153080,Keith David
tt0153080,Khalil Kain
tt0153080,Freda Foh Shen
tt0156812,Frankie Muniz
tt0156812,Kevin Bacon
tt0156812,Diane Lane
tt0161191,John Nolan
tt0161191,Prunella Gee
tt0161191,Sharon Maughan
tt0165247,Ryong Keo
tt0165247,Jeong-lee Hwang
tt0165247,Jeong-ah Seo
tt0165727,Tien-Te Hsu
tt0165727,Chen Yi
tt0165727,Lan Lo
tt0165798,Forest Whitaker
tt0165798,Henry Silva
tt0165798,John Tormey
tt0172493,Winona Ryder
tt0172493,Angelina Jolie
tt0172493,Clea DuVall
tt0175142,Anna Faris
tt0175142,Jon Abrahams
tt0175142,Marlon Wayans
tt0185371,Geoffrey Rush
tt0185371,Famke Janssen
tt0185371,Taye Diggs
tt0186619,N/A
tt0186726,Kirsten Storms
tt0186726,Raven-Symoné
tt0186726,Bob Bancroft
tt0188453,Nicole Kidman
tt0188453,Vincent Cassel
tt0188453,Ben Chaplin
tt0189649,Carey Wilson
tt0189649,Johnny Mitchell
tt0189649,William Bailey
tt0190332,Chow Yun-Fat
tt0190332,Michelle Yeoh
tt0190332,Ziyi Zhang
tt0190641,Veronica Taylor
tt0190641,Rachael Lillis
tt0190641,Eric Stuart
tt0190829,Tim Andrews
tt0190829,Janell Blanchard
tt0190829,Jeff Boland
tt0197951,Jalal Merhi
tt0197951,Cynthia Rothrock
tt0197951,Loren Avedon
tt0199753,Val Kilmer
tt0199753,Carrie-Anne Moss
tt0199753,Tom Sizemore
