imdbid,autor
tt0101921,Fannie Flagg
tt0101921,Carol Sobieski
tt0102286,Wing-Fai Wong
tt0102286,Patrick Leung
tt0102343,Dale Launer
tt0102492,Laurice Elehwany
tt0102958,Alfonso Cuarón
tt0102958,Carlos Cuarón
tt0103039,Topper Carew
tt0103352,D.J. MacHale
tt0103352,Ned Kandel
tt0103905,Rémy Belvaux
tt0103905,André Bonzel
tt0103905,Benoît Poelvoorde
tt0104036,Neil Jordan
tt0104054,Tab Hunter
tt0104054,Janet MacLean
tt0104070,Martin Donovan
tt0104070,David Koepp
tt0104662,Mario Benedetti
tt0104662,Juan Gelman
tt0104662,Oliverio Girondo
tt0104765,Don Roos
tt0105592,J. Stephen Maunder
tt0105811,Christopher Crowe
tt0105903,Baoshan Dai
tt0105903,Baorui Zhang
tt0105903,Zien Zhang
tt0106052,N/A
tt0106053,David Letterman
tt0106664,Stephen King
tt0106664,George A. Romero
tt0106941,Mark Rosenthal
tt0106941,Lawrence Konner
tt0107438,Tom Ropelewski
tt0107438,Leslie Dixon
tt0107438,Amy Heckerling
tt0107473,Richard Price
tt0108327,Carol Heikkinen
tt0108551,Tina Turner
tt0108551,Kurt Loder
tt0108551,Kate Lanier
tt0109078,Rockne S. O'Bannon
tt0109078,Diane Frolov
tt0109078,Andrew Schneider
tt0109307,Takashige Ichise
tt0109307,Joel Soisson
tt0109542,Matthew Bright
tt0109550,Mariano Baino
tt0109550,Andy Bark
tt0109551,Robert C. Cooper
tt0109962,Roman Cheung
tt0109962,Stephen Chow
tt0109962,Vincent Kok
tt0109965,Nathan Long
tt0109965,Steve Wang
tt0109965,Yoshiki Takaya
tt0110093,Nancy Meyers
tt0110093,Charles Shyer
tt0110391,Mildred Cram
tt0110391,Leo McCarey
tt0110391,Delmer Daves
tt0110395,C.M. Talkington
tt0110613,Laurice Elehwany
tt0110613,Janet Kovalcik
tt0110852,Vincent Kok
tt0110982,Tim Metcalfe
tt0110982,Miguel Tejada-Flores
tt0110982,Steve Zacharias
tt0111495,Krzysztof Kieslowski
tt0111495,Krzysztof Piesiewicz
tt0111495,Agnieszka Holland
tt0111662,Shing Law
tt0111662,Yan-Tung Leung
tt0111662,Lap-Kwong Ng
tt0111727,Terry Borst
tt0111727,Frank De Palma
tt0111727,Chris Roberts (story)
tt0112572,Sherwood Schwartz
tt0112572,Laurice Elehwany
tt0112572,Rick Copp
tt0112606,Gary David Goldberg
tt0112606,Brad Hall
tt0113198,Jymn Magon
tt0113198,Chris Matheson
tt0113198,Brian Pimental
tt0113356,Jeffrey Lau
tt0113416,Maria Maggenti
tt0113703,Shunji Iwai
tt0113729,Paula Milne
tt0114095,Harry Birckmayer
tt0114095,Daisy von Scherler Mayer
tt0114095,Sheila Gaffney
tt0114188,Scott Alexander
tt0114188,Larry Karaszewski
tt0114188,Michael Hitchcock
tt0114614,Alan Martin
tt0114614,Jamie Hewlett
tt0114614,Tedi Sarafian
tt0114781,Richard Hatem
tt0114781,Matt Reeves
tt0114781,J.F. Lawton
tt0115151,Brent Friedman
tt0115151,Bryce Zabel
tt0116030,S.O. Lee
tt0116030,J. Reifel
tt0116030,Buzz Dixon
tt0116242,Woody Allen
tt0116414,Suzan-Lori Parks
tt0116621,Henry S. Villard
tt0116621,James Nagel
tt0116621,Allan Scott
tt0116743,Helena Kriel
tt0116743,Mira Nair
tt0116743,Wajida Tabassum
tt0117891,Martin Lawrence
tt0117891,Bentley Kyle Evans
tt0117891,Kenny Buford
tt0117905,Ivy Ho
tt0117911,William Applegate Jr.
tt0118159,Don Woodman
tt0118159,Gordon Melbourne
tt0118159,Roy Sallows
tt0118491,N/A
tt0118556,Robert Gordon
tt0118694,Wong Kar-Wai
tt0118843,Gordan Mihic
tt0118929,Alex Proyas
tt0118929,Lem Dobbs
tt0118929,David S. Goyer
tt0118930,Zeljko Mijanovic
tt0118930,Andrew Horton
tt0118930,Nikola Jovanovic
tt0119174,John Brancato
tt0119174,Michael Ferris
tt0119572,Theodore Witcher
tt0119574,Gilbert Adair
tt0119574,Richard Kwietniowski
tt0119577,John Maybury
tt0119577,Don Jordan
tt0120689,Stephen King
tt0120689,Frank Darabont
tt0120863,James Jones
tt0120863,Terrence Malick
tt0120885,Larry Beinhart
tt0120885,Hilary Henkin
tt0120885,David Mamet
tt0123324,Tina Andrews
tt0124315,John Irving
tt0124718,Spike Lee
tt0126698,J. Stephen Maunder
tt0126698,Andreas Kyprianou
tt0126916,Michael Shaara
tt0126916,Dana Stevens
tt0127760,Ferde Grofé Jr.
tt0129023,Adam Coleman Howard
tt0129023,Justin Lazard
tt0133011,Tairone Feitosa
tt0133011,José Louzeiro
tt0133011,Sergio Rezende
tt0134858,Clelle Mahon
tt0137330,Danny Jacobson
tt0137330,Kenny Schwartz
tt0137330,Rick Wiener
tt0138097,Marc Norman
tt0138097,Tom Stoppard
tt0140745,Norman Corwin
tt0141006,Ron Hulme
tt0141006,J. Stephen Maunder (creator)
tt0141006,Jalal Merhi (creator)
tt0142032,N/A
tt0143940,William Quindt
tt0143940,Harry Piel
tt0144201,Serge Frydman
tt0149593,Tom Morrison
tt0150662,Lukas Moodysson
tt0153080,John Strege
tt0153080,Takashi Bufford
tt0156812,Willie Morris
tt0156812,Gail Gilchriest
tt0160910,Justin Chin
tt0160910,Garry M. Gaber (additional story)
tt0161191,N/A
tt0165247,Cheon-ho Jang
tt0165727,N/A
tt0165798,Jim Jarmusch
tt0166252,Cathleen Schine
tt0166252,Maria Maggenti
tt0167400,Metin Erksan
tt0168629,Lars von Trier
tt0168629,Sjón
tt0172184,George Saunders
tt0172184,Elvis Restaino
tt0172493,Susanna Kaysen
tt0172493,James Mangold
tt0172493,Lisa Loomer
tt0175142,Shawn Wayans
tt0175142,Marlon Wayans
tt0175142,Buddy Johnson
tt0185371,Robb White
tt0185371,Dick Beebe
tt0186619,N/A
tt0186726,Marilyn Sadler
tt0186726,Roger Bollen
tt0186726,Stu Krieger
tt0188453,Tom Butterworth
tt0188453,Jez Butterworth
tt0188863,Jeff Franklin
tt0189649,Herman Boxer
tt0189649,Frank R. Stockton
tt0190332,Hui-Ling Wang
tt0190332,James Schamus
tt0190332,Kuo Jung Tsai
tt0190641,Satoshi Tajiri
tt0190641,Takeshi Shudô
tt0190641,Jun'ichi Masuda
tt0190829,Serge Rodnunsky
tt0197951,J. Stephen Maunder
tt0199725,Gina Prince-Bythewood
tt0199727,Dominic Anciano
tt0199727,Ray Burdis
tt0199753,Chuck Pfarrer
tt0199753,Jonathan Lemkin
tt0201992,N/A
tt0202109,Ao-Hsun Sung
tt0202880,Hisataka Kai
tt0202880,Hideo Sasai
tt0203233,Kuang Ni (screenplay)
tt0203523,Joe Nussbaum
tt0203523,Daniel Shere
tt0203523,Timothy Dowling
tt0204709,Philippe Blasband
tt0204993,James Cameron
tt0204993,Charles H. Eglee
tt0206080,Stanley Breeden
tt0206516,N/A
tt0208003,Darryl Quarles
tt0208003,Don Rhymer
tt0210234,Satoshi Tajiri
tt0210234,Takeshi Shudô
tt0211042,Armando Visconti
tt0212558,Yuriy Koval
tt0212558,Leonid Nosyrev
tt0219374,Jocelyn Moorhouse
tt0219374,P.J. Hogan
tt0220880,John Dilworth
tt0221023,N/A
tt0221218,Wesley Strick
tt0224626,Gregory Gieras
tt0224626,D.B. Smith
tt0228183,Phil Smoot
tt0234137,Valerie Breiman
tt0235327,N/A
tt0240793,Thomas Baum
tt0243255,Catherine Breillat
tt0244479,Zdenek Sverák
tt0248555,Matt Cimber
tt0248555,George E. Roberts
tt0248555,John W. Shadow
tt0251736,Rob Zombie
tt0257106,Shawn Wayans
tt0257106,Marlon Wayans
tt0257106,Buddy Johnson
tt0259054,William Mahone
tt0259656,N/A
tt0262287,N/A
tt0262830,Robert Gosnell
tt0263074,Yavuz Turgul
tt0263975,Ali Özgentürk
tt0263975,Chingiz Aitmatov
tt0264796,Mark Andrus
tt0265208,David Wagner
tt0265208,Brent Goldberg
tt0265208,Stuart Blumberg
tt0266987,Michael Frost Beckner
tt0266987,David Arata
tt0269217,Wisit Sasanatieng
tt0270480,Vicente Aranda
tt0270480,Antonio Larreta
tt0270480,Manuel Tamayo y Baus
tt0271111,Teresa Lillygren (dialogue)
tt0272338,Paul Thomas Anderson
tt0273689,Mogens Rukov
tt0273689,Thomas Vinterberg
tt0274965,George Carleton Brown
tt0274965,John Dunkel
tt0275277,Shin'ichirô Watanabe
tt0275277,Keiko Nobumoto
tt0277371,Mike Bender
tt0277371,Adam Jay Epstein
tt0277371,Andrew Jacobson
tt0277657,N/A
tt0279113,Mike White
tt0279331,James Ellroy
tt0279331,David Ayer
tt0280609,Neil Marshall
tt0281360,Chris Metzen (storyline consultant)
tt0281360,Bill Roper (storyline consultant)
tt0282698,Gordy Hoffman
tt0283877,Alex Sanger (screenplay)
tt0283877,Karen Craig (screenplay)
